,electricity
0,0.14264276328842207
1,0.12049872601357837
2,0.13648457829200975
3,0.20487102846870583
4,0.2776194772540177
5,0.3173920786657178
6,0.3263077187573799
7,0.3277238696896096
8,0.32997070361195474
9,0.3136663245971728
10,0.27343801758862296
11,0.23009939790266518
12,0.19844945300845448
13,0.18611316439686995
14,0.2000447301117478
15,0.24145175962748616
16,0.2933759146991573
17,0.3498305213026504
18,0.4172944633463675
19,0.4839525144253154
20,0.5341443862983234
21,0.5574193220607265
22,0.5584316176083003
23,0.5438359697994802
24,0.5405241090374587
25,0.5555199655612787
26,0.5824386122566577
27,0.6228692654853234
28,0.6754913530544958
29,0.7315582039472408
30,0.7917756438839129
31,0.8442098597641604
32,0.8825021286732029
33,0.9025719805512926
34,0.9159807554252638
35,0.9163248924032902
36,0.8828432663453095
37,0.8404888061613054
38,0.8247878611044777
39,0.7979968344784711
40,0.754802910527463
41,0.7097692703385523
42,0.7297105552942761
43,0.7362466002927894
44,0.7584732580730141
45,0.8379471374288121
46,0.8577146136875655
47,0.890309656958745
48,0.9078203273238561
49,0.9264481521396956
50,0.9378794199790983
51,0.9434373192643973
52,0.9392238061260503
53,0.9393535613045784
54,0.9389635494869247
55,0.9391588353140445
56,0.9367781332853724
57,0.9325902286589731
58,0.9256761455801598
59,0.9022786749687493
60,0.8662468793051766
61,0.859493246437386
62,0.8857108034194883
63,0.9309713528467224
64,0.9584077938240139
65,0.9756295819306806
66,0.9829417512529535
67,0.9831372106133008
68,0.9814325023889141
69,0.9814865916267888
70,0.9793146584436567
71,0.9785134874588635
72,0.9697432443477446
73,0.9607355476665911
74,0.9517902636391068
75,0.9381108141859728
76,0.9324833530190736
77,0.9323406199131025
78,0.9496182168329521
79,0.9666450312240704
80,0.9595771772142463
81,0.9552158417369019
82,0.9668803382982463
83,0.9781709009461631
84,0.9800676658545561
85,0.9798170178837201
86,0.9793934320631277
87,0.9756781004193451
88,0.9732022488390005
89,0.9732022488390005
90,0.9710118537070764
91,0.9701307162128172
92,0.9720390472168882
93,0.9732580062870325
94,0.971696825824651
95,0.9704964887520019
96,0.9652705591977626
97,0.9587711053586597
98,0.9384728782415254
99,0.9067900622238186
100,0.8358184883111327
101,0.7601041190803977
102,0.7605824699483916
103,0.7827431328385396
104,0.8134731740003683
105,0.8619673183669855
106,0.902669585943548
107,0.9307893850799389
108,0.9497548901668735
109,0.9565438666870643
110,0.9588839997916853
111,0.9566864272876151
112,0.9582478600153972
113,0.9627290308577523
114,0.9704174339728899
115,0.9773441511779619
116,0.9807005848778727
117,0.9818214783390354
118,0.9817340492652973
119,0.9801856494443922
120,0.9792970485479686
121,0.9779394390256104
122,0.9737662982366863
123,0.9649271274289807
124,0.9598864252061166
125,0.9546738169167482
126,0.9483445578679323
127,0.9493988216331802
128,0.9567812165422798
129,0.96461883394216
130,0.9648503211714434
131,0.9571114009602307
132,0.9404464881183782
133,0.9303875731382704
134,0.940573897710018
135,0.9495360472664202
136,0.9496729275343142
137,0.9420215698819416
138,0.9253653771189083
139,0.8910077218257525
140,0.8378740784441253
141,0.7784950042885821
142,0.732070140320947
143,0.7029849291962723
144,0.6769625006413881
145,0.6326032884190054
146,0.5670155693200918
147,0.4775205443495355
148,0.35893043239657363
149,0.256360249575957
150,0.23395547175198692
151,0.26602641949966677
152,0.3218382732912223
153,0.43394022043970415
154,0.5493040708083975
155,0.6481330373710807
156,0.730224524379918
157,0.7813932310471103
158,0.7913388547573745
159,0.7640089140191149
160,0.7105178909662568
161,0.6464865169983209
162,0.6372549474297079
163,0.6715147816448818
164,0.7450804875361551
165,0.833743679067608
166,0.9057976289108889
167,0.9489019405197172
168,0.9643857396109946
169,0.9702744904200701
170,0.9689504104236595
171,0.962297399666975
172,0.9594883876512795
173,0.9611000307714561
174,0.9622767188894056
175,0.9582478600153972
176,0.9476966321835271
177,0.9316229613356173
178,0.9118909095480485
179,0.8972812062930997
180,0.891221779608129
181,0.8905785740631068
182,0.8922338661140005
183,0.8941303558761222
184,0.8980440397120032
185,0.8978918487395527
186,0.8926047919924962
187,0.8828432663453095
188,0.8793958125036758
189,0.8808995703233082
190,0.8828432663453095
191,0.8852089323082293
192,0.8858776985917305
193,0.8841435741101022
194,0.8851530589764341
195,0.8785213664942747
196,0.8627415391393691
197,0.8405609858389472
198,0.8166891980402633
199,0.7982532647778823
200,0.7878223192915057
201,0.781753744739094
202,0.7716970429231275
203,0.7610602226999084
204,0.7480509761049549
205,0.7258897313270016
206,0.6997250433414239
207,0.6924881239623015
208,0.7145634888115655
209,0.7603912013510568
210,0.8045078844763571
211,0.8350796933300563
212,0.8472372927873904
213,0.845200454039025
214,0.8328485821423234
215,0.8122569254985091
216,0.7960234598876484
217,0.7818438118279623
218,0.7688096681924401
219,0.7601041190803977
220,0.7537340435907006
221,0.7348247954748063
222,0.712863866506984
223,0.707087107844308
224,0.7231865386665064
225,0.7615373769068682
226,0.8163693824082212
227,0.8635764628852607
228,0.8843685211812253
229,0.8906322928584411
230,0.8919150955525547
231,0.89605087657193
232,0.9024742936185767
233,0.9072595571224502
234,0.921466117522368
235,0.9510495164402645
236,0.9783778485743322
237,0.9816707309298782
238,0.9739198522458897
239,0.9722611680241829
240,0.9794061354824296
241,0.9831872112870221
242,0.9766615328331502
243,0.9536469676579427
244,0.9113961800252186
245,0.8572506649569549
246,0.7884405629014682
247,0.698961719923978
248,0.6014052652267144
249,0.5104424151866154
250,0.4686490701518787
251,0.4631249877565956
252,0.4538866092732362
253,0.46646462890635504
254,0.5583051074347329
255,0.7452791735943975
256,0.9046525945757994
257,0.9668803382982463
258,0.9826534728929238
259,0.9786416969338085
260,0.9611190645972437
261,0.9497531838727624
262,0.9627755511569535
263,0.9799084446750501
264,0.9830415495857556
265,0.9821458000329981
266,0.983089064488449
267,0.9829267228801438
268,0.9809405626128075
269,0.9806937232364988
270,0.9826304341802088
271,0.9831841756064545
272,0.9809578306529381
273,0.9743138720192663
274,0.9654409313442409
275,0.9542507016252787
276,0.9427949273302093
277,0.934523331396156
278,0.9319467325880132
279,0.9351108323595593
280,0.9392887147756759
281,0.9401909321215851
282,0.9332283555143969
283,0.9189931231038224
284,0.9004039601883668
285,0.8821031245461307
286,0.8715869984263597
287,0.8746134812923703
288,0.8921276948655422
289,0.9044606282166987
290,0.9038345053600211
291,0.8956380774733859
292,0.8820460350681067
293,0.8637045609621861
294,0.8426435967310278
295,0.8289288886008975
296,0.8333711520350093
297,0.8473071657149746
298,0.8581773995003378
299,0.8622903216450831
300,0.8610597794969214
301,0.8611247567875344
302,0.8602129287977345
303,0.8575159209780642
304,0.8475166395058444
305,0.8318748990116485
306,0.8277858249115105
307,0.8320999640450348
308,0.8409215184608487
